name	version	description	downloads_monthly	repository	homepage	license	keywords	published	updated	featured
@dotdo/apis	0.1.0	Core API framework for building Hono-based APIs on Cloudflare Workers with conventions, middleware, and MCP tools	229			MIT	hono,cloudflare,workers,api,framework,dotdo,mcp,middleware	2026-01-24T14:58:43.611Z	2026-01-24T14:58:43.817Z	false
@dotdo/documentdb	0.1.1	MongoDB-compatible RPC server using PostgreSQL (via @dotdo/postgres) as the backend	121	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	mongodb,documentdb,postgres,postgresql,bson,jsonb,cloudflare,workers,durable-objects,serverless	2026-01-22T15:58:31.445Z	2026-01-24T15:48:50.396Z	false
@dotdo/tanstack	0.1.1	TanStack DB integration for @dotdo/postgres with local-first sync	92	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	tanstack,tanstack-query,tanstack-db,postgres,pglite,local-first,sync,optimistic-updates,cloudflare,workers	2026-01-22T15:59:39.376Z	2026-01-24T15:50:02.155Z	false
@dotdo/db-clickhouse	0.1.10	ClickHouse database adapter for Payload CMS, optimized for Cloudflare Workers	83	https://github.com/dot-do/payload	https://github.com/dot-do/payload/tree/main/packages/db-clickhouse	MIT	payload,payloadcms,clickhouse,database,adapter,cloudflare,workers,edge	2025-12-14T18:50:54.699Z	2025-12-30T15:10:59.044Z	false
@dotdo/cli	0.2.5	Unified CLI module with syntax highlighting, output formatting, auth, and RPC	76	https://github.com/dot-do/cli.do	https://cli.do	MIT	cli,terminal,syntax-highlighting,shiki,json5,formatter,spinner,progress	2026-01-23T18:26:43.483Z	2026-01-26T16:01:44.659Z	false
@dotdo/iceberg	0.2.0	Apache Iceberg table format for JavaScript/TypeScript	75	https://github.com/dot-do/iceberg	https://iceberg.do	MIT	iceberg,apache-iceberg,lakehouse,data-lake,parquet,avro,catalog,cloudflare,r2	2026-01-22T15:58:38.749Z	2026-02-03T14:39:48.211Z	false
@dotdo/neon	0.1.1	Neon-compatible client for postgres.do - drop-in replacement for @neondatabase/serverless	60	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	neon,neondatabase,postgres,postgresql,serverless,cloudflare,workers,compatibility	2026-01-22T15:58:45.898Z	2026-01-24T15:49:06.245Z	false
@dotdo/db-rpc-server	0.1.6	RPC server for Payload database adapters - exposes any adapter via HTTP/WebSocket using capnweb	54	https://github.com/payloadcms/payload	https://payloadcms.com	MIT	payload,payloadcms,cms,database,adapter,rpc,server,hono,cloudflare-workers	2025-12-17T11:49:40.446Z	2025-12-17T19:02:00.705Z	false
@dotdo/mcp	0.1.5	MCP Server library with search, fetch, and do primitives - the core package for building MCP servers	51	https://github.com/drivly/mcp	https://mcp.do	MIT	mcp,model-context-protocol,ai,agents,search,fetch,sandbox,cloudflare-workers,hono	2026-01-24T19:52:58.781Z	2026-01-26T18:12:53.932Z	false
@dotdo/db-rpc	0.1.6	RPC client database adapter for Payload - connects to a remote db-rpc-server	48	https://github.com/payloadcms/payload	https://payloadcms.com	MIT	payload,payloadcms,cms,database,adapter,rpc,remote,client	2025-12-17T11:50:45.444Z	2025-12-17T19:01:54.871Z	false
@dotdo/sdb	0.1.3	Simple Document/Graph Database for Cloudflare Durable Objects	47	https://github.com/dot-do/sdb	https://github.com/dot-do/sdb#readme	MIT	cloudflare,cloudflare-workers,durable-objects,database,document-db,graph-db,serverless-database,edge-database,document-database,graph-database,real-time,websocket,mcp,model-context-protocol	2026-01-25T00:36:13.194Z	2026-01-26T01:56:27.772Z	false
@dotdo/pg-search	0.1.1	BM25 full-text search with Orama + PGlite and Cap'n Web RPC for hibernated WebSocket connections	42			MIT	orama,pglite,search,full-text,bm25,capnweb,rpc,durable-objects,cloudflare-workers	2026-01-22T15:59:07.498Z	2026-01-24T15:49:29.880Z	false
@dotdo/rpc	0.2.4	Durable Object RPC server with capnweb, hibernation, and $ context	41	https://github.com/dot-do/rpc.do	https://github.com/dot-do/rpc.do#readme	MIT	rpc,durable-objects,cloudflare,workers,capnweb,hibernation	2026-01-26T16:00:04.306Z	2026-01-31T16:36:26.897Z	false
@dotdo/pg-protocol	0.1.1	The postgres client/server binary protocol, implemented in TypeScript	39	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	Apache-2.0	postgres,sql,database,wasm,pg-protocol	2026-01-22T15:58:58.577Z	2026-01-24T15:49:19.517Z	false
@dotdo/colo	0.1.5	Location-aware Durable Objects - create, target, and manage DOs in specific Cloudflare colocations	37	https://github.com/dot-do/colo.do	https://colo.do	MIT	cloudflare,durable-objects,colocation,edge,rpc	2026-01-26T15:59:36.991Z	2026-01-26T18:07:40.831Z	false
@dotdo/hyparquet	1.17.3	Parquet file parser for JavaScript (dotdo fork)	36	https://github.com/dot-do/hyparquet	https://github.com/dot-do/hyparquet	MIT	ai,data,dotdo,hyparquet,ml,parquet,parquetjs,parser,snappy,thrift	2026-02-02T12:42:33.172Z	2026-02-02T18:19:09.765Z	false
@dotdo/gitx	0.1.4	Pure Git implementation in TypeScript - object parsing, pack files, delta compression, refs. With AsyncFn pattern support.	36	https://github.com/dot-do/gitx	https://github.com/dot-do/gitx#readme	MIT	git,version-control,vcs,pack,delta,objects,refs,blob,tree,commit,tag,typescript,pure,portable	2026-01-23T18:17:43.008Z	2026-01-26T16:01:03.353Z	false
@dotdo/esm	0.1.1	Platform-agnostic core library for esm.do module management.	34					2026-01-25T11:57:24.311Z	2026-01-26T18:23:16.173Z	false
@dotdo/hyparquet-writer	0.12.1	Parquet file writer for JavaScript (dotdo fork with Variant support)	33	https://github.com/dot-do/hyparquet-writer	https://github.com/dot-do/hyparquet-writer	MIT	ai,data,dotdo,hyparquet,ml,parquet,snappy,thrift,variant	2026-02-02T12:55:17.592Z	2026-02-02T18:19:00.118Z	false
@dotdo/pg-queue	0.1.1	pgmq-style message queue on Durable Objects with single-alarm visibility timeout and Cap'n Web RPC	33	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	pgmq,message-queue,durable-objects,cloudflare,workers,visibility-timeout,alarms,sqlite,capnweb,rpc	2026-01-22T15:59:04.482Z	2026-01-24T15:49:26.168Z	false
@dotdo/supabase	0.1.1	Supabase-compatible client for postgres.do - drop-in replacement for @supabase/supabase-js	32	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	supabase,postgres,postgresql,database,compatibility,cloudflare,workers	2026-01-22T15:59:36.117Z	2026-01-24T15:49:58.824Z	false
@dotdo/deltalake	0.0.1	Delta Lake format implementation - shared foundation for MongoLake and KafkaLake	31	https://github.com/dot-do/deltalake	https://github.com/dot-do/deltalake#readme	MIT	delta-lake,parquet,lakehouse,streaming,cdc,cloudflare-workers	2026-02-02T19:33:17.056Z	2026-02-02T19:33:17.465Z	false
@dotdo/mongodb	0.1.1	MongoDB client compatibility wrapper using capnweb RPC to @dotdo/documentdb backend	30	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	mongodb,documentdb,cloudflare,workers,compatibility,client	2026-01-22T15:58:42.382Z	2026-01-24T15:49:02.625Z	false
@dotdo/pg-lake	0.1.1	pg_lake: Distributed Sharding & Unified Iceberg Architecture for PostgreSQL on Cloudflare Workers	28	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	postgres,postgresql,pglite,pglake,distributed,sharding,iceberg,parquet,analytics,cloudflare,workers,durable-objects,pglite,cdc,time-travel	2026-01-22T15:58:53.930Z	2026-01-24T15:49:14.403Z	false
@dotdo/payload	0.0.1	Payload CMS database adapter for dotdo	27					2026-01-09T19:57:57.489Z	2026-01-09T19:57:57.756Z	false
@dotdo/pglite-sync	0.4.1	ElectricSQL Sync for PGlite	27	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0	postgres,sql,database,wasm,client,pglite,sync,partial-replication	2026-01-24T15:50:28.907Z	2026-01-24T15:50:29.138Z	false
@dotdo/pg-query	0.1.1	Shared SQL query builder for postgres.do - common functionality for postgrest, supabase, and documentdb	26	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	sql,query-builder,postgres,postgresql,database	2026-01-22T16:00:39.172Z	2026-01-24T15:49:22.575Z	false
@dotdo/mongo-payload	0.0.1	mongo.do database adapter for Payload CMS - MongoDB-compatible backed by Cloudflare Durable Objects	26	https://github.com/dotdo/mongo-payload	https://github.com/dotdo/mongo-payload#readme	MIT	payload,payloadcms,payload-cms,database,database-adapter,adapter,mongo.do,mongo-do,mongodb,mongodb-compatible,cloudflare,cloudflare-workers,durable-objects,edge,edge-computing,serverless	2026-01-05T11:35:55.244Z	2026-01-05T11:35:55.558Z	false
@dotdo/postgrest	0.1.1	PostgREST-compatible REST API for postgres.do - automatic CRUD endpoints from your schema	25	https://github.com/dot-do/postgres	https://github.com/dot-do/postgres#readme	MIT	postgrest,rest,api,postgres,postgresql,crud,hono,cloudflare,workers	2026-01-22T15:59:31.773Z	2026-01-24T15:49:55.438Z	false
@dotdo/pglite-tiny	0.1.1	Minimal PGlite variant for Cloudflare Workers - core SQL only, ~5MB bundle	25	https://github.com/dot-do/pglite	https://github.com/dot-do/pglite	Apache-2.0	postgres,sql,database,wasm,client,pglite,cloudflare,workers,tiny,minimal	2026-01-22T15:59:42.540Z	2026-01-24T15:50:32.335Z	false
@dotdo/app-builder	0.1.0	Deploy your own dynamic MDX-powered app builder on Cloudflare Workers	25	https://github.com/payloadcms/payload	https://github.com/payloadcms/payload#readme	MIT	cloudflare,workers,durable-objects,mdx,cms,app-builder,dynamic	2025-12-18T20:56:23.585Z	2025-12-18T20:56:23.865Z	false
@dotdo/vault	0.1.0	Core Vault client for encrypted secrets management with WorkOS Vault	25	https://github.com/dot-do/vault	https://github.com/dot-do/vault#readme	MIT	vault,secrets,encryption,workos,key-management,ekm	2026-01-25T11:31:06.301Z	2026-01-25T11:31:06.724Z	false
@dotdo/sqlite	0.0.1	Turso WASM SQLite with Cloudflare Durable Objects VFS	24			MIT	sqlite,wasm,cloudflare,durable-objects,libsql,turso	2026-01-22T11:02:51.851Z	2026-01-22T11:02:52.097Z	false
@dotdo/landing	6.0.0	Landing page components for .do platform sites	24	https://github.com/dot-do/ui	https://github.com/dot-do/ui#readme	MIT		2026-01-24T14:37:55.012Z	2026-01-24T14:37:55.217Z	false
@dotdo/bashx	0.1.5	AI-enhanced bash execution with AsyncFn pattern - parsing, classification, escaping, and safety analysis	23	https://github.com/dot-do/bashx	https://github.com/dot-do/bashx#readme	MIT	bash,shell,parser,safety,escape,classify,ast,command,security,ai,llm,intent,analysis,sanitize,posix,asyncfn	2026-01-23T18:21:49.114Z	2026-01-26T16:01:17.728Z	false
@dotdo/events	0.1.0	Event emission, CDC, and lakehouse streaming for Durable Objects	23	https://github.com/dot-do/events	https://events.do	MIT	events,cdc,durable-objects,cloudflare,workers,lakehouse,analytics,streaming	2026-01-26T14:43:14.146Z	2026-01-26T14:43:14.400Z	false
@dotdo/pglite-socket	0.0.20	A socket implementation for PGlite enabling remote connections	23	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0	postgres,sql,database,wasm,pglite,socket	2026-01-24T15:50:21.884Z	2026-01-24T15:50:22.165Z	false
@dotdo/db-composite	0.1.0	A Payload database adapter that routes operations between local and remote databases with automatic background synchronization	22	https://github.com/dot-do/payload	https://github.com/dot-do/payload/tree/main/packages/db-composite	MIT	payload,payloadcms,composite,database,adapter,sync,routing,cloudflare,workers,edge	2025-12-18T14:26:32.939Z	2025-12-18T14:26:33.223Z	false
@dotdo/db-do-json	0.1.0	Schemaless JSON database adapter for Payload CMS on Cloudflare Durable Objects	22	https://github.com/payloadcms/payload	https://github.com/payloadcms/payload#readme	MIT	payload,cms,cloudflare,durable-objects,database,adapter,json	2025-12-18T20:56:03.731Z	2025-12-18T20:56:04.035Z	false
@dotdo/duckdb-types	0.1.0-rc.1	Shared TypeScript types for DuckDB packages	21	https://github.com/dotdo/duckdb	https://duck.do	MIT	duckdb,types,typescript,capnproto,schema,rpc	2026-01-23T18:27:05.360Z	2026-01-23T18:27:05.626Z	false
@dotdo/pglite-vue	0.2.33	Vue hooks for using PGlite	21	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0	postgres,sql,database,wasm,client,pglite,vue	2026-01-24T15:50:45.206Z	2026-01-24T15:50:45.517Z	false
@dotdo/pglite-repl	0.2.33	A REPL, or terminal, for use in the browser with PGlite, allowing you to have an interactive session with your WASM Postgres in the page.	21	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0		2026-01-24T15:50:15.372Z	2026-01-24T15:50:15.718Z	false
@dotdo/pglite-react	0.2.33	Hooks for using PGlite	21	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0	postgres,sql,database,wasm,client,pglite,react	2026-01-24T15:50:10.012Z	2026-01-24T15:50:10.211Z	false
@dotdo/sdk	0.1.1	Define your API once, get a typed client, CLI binary, and MCP server	20	https://github.com/dotdo-ai/sdk	https://github.com/dotdo-ai/sdk#readme	MIT	sdk,cli,mcp,codegen,typescript,api	2026-01-26T16:01:54.397Z	2026-01-26T16:01:54.743Z	false
@dotdo/duckdb	0.1.0-rc.1	DuckDB for Cloudflare Workers - WASM, Durable Objects, and Containers	20	https://github.com/dotdo/duckdb	https://duck.do	MIT	duckdb,cloudflare,workers,wasm,durable-objects,containers	2026-01-23T19:16:44.009Z	2026-01-23T19:16:45.719Z	false
@dotdo/parse-worker	0.1.0	Cloudflare Worker for parsing and compiling MDX app definitions	20	https://github.com/payloadcms/payload	https://github.com/payloadcms/payload#readme	MIT	cloudflare,workers,mdx,parser,payload,cms	2025-12-18T20:55:57.651Z	2025-12-18T20:55:57.895Z	false
@dotdo/pglite-tools	0.2.20	Tools for working with PGlite databases	20	https://github.com/electric-sql/pglite	https://pglite.dev	Apache-2.0	postgres,sql,database,wasm,pglite,pg_dump,pg_restore	2026-01-24T15:50:38.521Z	2026-01-24T15:50:38.911Z	false
@dotdo/sqlite-core	0.0.1	Core utilities for @dotdo/sqlite ecosystem - errors, logging, and shared types	19			MIT	sqlite,errors,logging,cloudflare,durable-objects	2026-01-22T11:02:10.382Z	2026-01-22T11:02:10.796Z	false
@dotdo/tailwind	6.0.0	Tailwind CSS templates implementing mdxui interface	16	https://github.com/dot-do/ui	https://mdxui.dev	MIT	mdxui,tailwind,catalyst,react,components,ui,design-system	2026-01-24T14:38:26.372Z	2026-01-24T14:38:26.648Z	false
@dotdo/magicui	6.0.0		11			MIT		2026-01-24T14:37:55.561Z	2026-01-24T14:37:55.858Z	false
@saaskit/amplitude	0.2.14	SaaSkit integration with Amplitude	732	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-amplitude,amplitude,analytics	2021-11-05T07:07:51.960Z	2021-11-07T09:05:00.541Z	false
@saaskit/sendgrid	0.2.14	SaaSkit integration with Sendgrid	81	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-sendgrid,sendgrid,api	2021-11-07T08:56:34.530Z	2021-11-07T09:05:31.608Z	false
@saaskit/ui	0.2.15	Congrats! You just saved yourself hours of work by bootstrapping this project with TSDX. Let’s get you oriented with what’s here and how to use it.	77			MIT		2021-11-01T10:41:39.313Z	2021-11-08T17:04:28.757Z	false
@saaskit/api	0.2.13	**SaaS**kit.js from [SaaS.Dev](https://saas.dev) is a highly opinionated framework and abstraction layer for rapidly  creating, launching, and iterating on SaaS products like Apps, APIs, and Marketplaces.	62			MIT		2021-11-01T10:41:39.325Z	2021-11-07T08:56:37.658Z	false
@saaskit/zapier	0.2.14	SaaSkit integration with Zapier	57	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-zapier,zapier,api	2021-11-01T10:41:39.274Z	2021-11-07T09:05:33.854Z	false
@saaskit/crazy-egg	0.2.14	SaaSkit integration with Crazy Egg	54	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-crazy-egg,crazy-egg,analytics	2021-11-05T07:07:54.409Z	2021-11-07T09:05:21.817Z	false
@saaskit/web	0.2.13	**SaaS**kit.js from [SaaS.Dev](https://saas.dev) is a highly opinionated framework and abstraction layer for rapidly  creating, launching, and iterating on SaaS products like Apps, APIs, and Marketplaces.	53			MIT		2021-11-01T12:02:12.147Z	2021-11-07T08:56:38.902Z	false
@saaskit/integrations	0.2.13	**SaaS**kit.js from [SaaS.Dev](https://saas.dev) is a highly opinionated framework and abstraction layer for rapidly  creating, launching, and iterating on SaaS products like Apps, APIs, and Marketplaces.	49			MIT		2021-11-01T12:02:11.376Z	2021-11-07T08:56:38.391Z	false
@saaskit/uservoice	0.2.14	SaaSkit integration with Uservoice	48	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-uservoice,uservoice,analytics	2021-11-05T07:08:03.484Z	2021-11-07T09:05:33.333Z	false
@saaskit/mouseflow	0.2.14	SaaSkit integration with Mouseflow	46	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-mouseflow,mouseflow,analytics	2021-11-05T07:07:59.180Z	2021-11-07T09:05:29.334Z	false
@saaskit/chartbeat	0.2.14	SaaSkit integration with Chartbeat	46	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-chartbeat,chartbeat,analytics	2021-11-05T07:07:53.581Z	2021-11-07T09:05:20.820Z	false
@saaskit/preact	0.2.14	SaaSkit integration with Preact	46	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-preact,preact,analytics	2021-11-05T07:08:00.721Z	2021-11-07T09:05:30.495Z	false
@saaskit/saasquatch	0.2.14	SaaSkit integration with Saasquatch	46	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-saasquatch,saasquatch,analytics	2021-11-05T07:08:01.557Z	2021-11-07T09:05:31.024Z	false
@saaskit/marketing	0.2.6	**SaaS**kit.js from [SaaS.Dev](https://saas.dev) is a highly opinionated framework and abstraction layer for rapidly  creating, launching, and iterating on SaaS products like Apps, APIs, and Marketplaces.	46			MIT		2021-11-01T12:02:11.375Z	2021-11-03T07:37:59.031Z	false
@saaskit/sdk	0.2.13	Congrats! You just saved yourself hours of work by bootstrapping this project with TSDX. Let’s get you oriented with what’s here and how to use it.	45			MIT		2021-11-01T10:41:39.258Z	2021-11-07T08:56:38.496Z	false
@saaskit/adroll	0.2.14	SaaSkit integration with Adroll	44	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-adroll,adroll,analytics	2021-11-05T07:07:51.754Z	2021-11-07T09:05:00.575Z	false
@saaskit/route	0.2.14	SaaSkit integration with Route	43	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-route,route,analytics	2021-11-05T07:08:01.531Z	2021-11-07T09:05:31.122Z	false
@saaskit/appcues	0.2.14	SaaSkit integration with Appcues	42	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-appcues,appcues,analytics	2021-11-05T07:07:51.921Z	2021-11-07T09:05:00.543Z	false
@saaskit/atatus	0.2.14	SaaSkit integration with Atatus	42	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-atatus,atatus,analytics	2021-11-05T07:07:51.963Z	2021-11-07T09:05:10.058Z	false
@saaskit/visual-website-optimizer	0.2.14	SaaSkit integration with Visual Website Optimizer	42	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-visual-website-optimizer,visual-website-optimizer,analytics	2021-11-05T07:08:03.959Z	2021-11-07T09:05:33.375Z	false
@saaskit/pingdom	0.2.14	SaaSkit integration with Pingdom	41	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-pingdom,pingdom,analytics	2021-11-05T07:08:00.660Z	2021-11-07T09:05:30.210Z	false
@saaskit/frontleaf	0.2.14	SaaSkit integration with Frontleaf	41	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-frontleaf,frontleaf,analytics	2021-11-05T07:07:55.613Z	2021-11-07T09:05:24.557Z	false
@saaskit/clicktale	0.2.14	SaaSkit integration with Clicktale	41	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-clicktale,clicktale,analytics	2021-11-05T07:07:53.665Z	2021-11-07T09:05:20.957Z	false
@saaskit/buttercms	0.2.14	SaaSkit integration with Buttercms	41	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-buttercms,buttercms,cms	2021-11-07T08:56:24.705Z	2021-11-07T09:05:20.733Z	false
@saaskit/facebook-conversion-tracking	0.2.14	SaaSkit integration with Facebook Conversion Tracking	41	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-facebook-conversion-tracking,facebook-conversion-tracking,analytics	2021-11-05T07:07:55.614Z	2021-11-07T09:05:23.978Z	false
@saaskit/piwik	0.2.14	SaaSkit integration with Piwik	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-piwik,piwik,analytics	2021-11-05T07:08:00.660Z	2021-11-07T09:05:30.288Z	false
@saaskit/optimizely	0.2.14	SaaSkit integration with Optimizely	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-optimizely,optimizely,analytics	2021-11-05T07:08:00.198Z	2021-11-07T09:05:29.951Z	false
@saaskit/insidevault	0.2.14	SaaSkit integration with Insidevault	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-insidevault,insidevault,analytics	2021-11-05T07:07:57.501Z	2021-11-07T09:05:26.333Z	false
@saaskit/supporthero	0.2.14	SaaSkit integration with Supporthero	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-supporthero,supporthero,analytics	2021-11-05T07:08:02.559Z	2021-11-07T09:05:32.223Z	false
@saaskit/chameleon	0.2.14	SaaSkit integration with Chameleon	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-chameleon,chameleon,analytics	2021-11-05T07:07:53.574Z	2021-11-07T09:05:20.747Z	false
@saaskit/google-analytics	0.2.14	SaaSkit integration with Google Analytics	40	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-google-analytics,google-analytics,analytics	2021-11-05T07:07:56.393Z	2021-11-07T09:05:25.439Z	false
@saaskit/comscore	0.2.14	SaaSkit integration with Comscore	39	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-comscore,comscore,analytics	2021-11-05T07:07:53.675Z	2021-11-07T09:05:21.959Z	false
@saaskit/snapengage	0.2.14	SaaSkit integration with Snapengage	39	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-snapengage,snapengage,analytics	2021-11-05T07:08:02.223Z	2021-11-07T09:05:32.163Z	false
@saaskit/gosquared	0.2.14	SaaSkit integration with Gosquared	39	https://github.com/saas-studio/saaskit	https://saaskit.js.org	MIT	saas,saaskit,saaskit-gosquared,gosquared,analytics	2021-11-05T07:07:56.739Z	2021-11-07T09:05:25.672Z	false
